timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1551218568,52.95.112.20,192.168.1.13,443,40811,2,222,40,0,280294,0
1551218571,87.248.222.204,192.168.1.13,80,46672,21,56,855.29,700.46,126387,242627.79
1551218574,52.94.220.0,192.168.1.2,443,65061,9,222.11,728,717.87,5835.25,10113.43
1551218574,54.239.35.205,192.168.1.2,443,65063,8,223.75,767.88,761.46,13411,29908.3
1551218577,192.168.1.2,54.230.198.116,65064,443,7,64,231.71,427.92,912858.17,2161365.36
1551218583,54.239.27.11,192.168.1.2,443,49209,16,222.75,463.06,581.83,65425.67,84596.21
1551218583,18.209.132.78,192.168.1.2,443,65072,19,237,443.68,611.39,19801.83,40575.62
1551218586,87.248.222.204,192.168.1.13,80,46672,142,56,1084.49,631.96,58916.84,99478.54
1551218586,192.168.1.14,63.33.44.65,58778,5223,1,64,60,0,0,0
1551218586,34.225.195.31,192.168.1.13,443,46821,1,235,83,0,0,0
1551218589,87.248.222.204,192.168.1.13,80,46672,47,56,1053.02,637.55,60256.67,99521.68
1551218589,35.184.172.128,192.168.1.14,443,35744,6,53,595,677.26,47870,64367.54
1551218589,54.231.49.27,192.168.1.14,443,50126,9,209.78,434.56,599.45,14267.62,30779.19
1551218592,104.198.46.246,192.168.1.14,56700,60551,14,53,141.57,50.89,167889.92,84021.31
1551218592,192.168.1.5,104.198.46.246,56590,56700,7,64,131.14,50.25,285743.83,224429.61
1551218592,192.168.1.4,104.198.46.246,52975,56700,7,64,131.14,50.25,176264.83,38996.12
1551218595,87.248.222.204,192.168.1.13,80,46672,48,56,1062.85,639.33,59381.23,104610.37
1551218595,192.168.1.7,54.77.208.212,58600,8883,2,64,67.5,21.92,21197,0
1551218595,54.77.208.212,192.168.1.7,8883,58600,1,237,83,0,0,0
1551218598,87.248.222.204,192.168.1.13,80,46672,33,56,921.61,699.85,82709.44,119949.77
1551218598,192.168.1.8,34.249.225.142,47363,443,2,64,228.5,249.61,20170,0
1551218598,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
1551218601,192.168.1.13,87.248.222.204,46672,80,22,64,52.55,2.56,125801.71,140314.36
1551218601,192.168.1.8,34.249.225.142,47363,443,2,64,228.5,249.61,20073,0
1551218601,34.249.225.142,192.168.1.8,443,47363,1,237,99,0,0,0
1551218604,87.248.222.204,192.168.1.13,80,46672,41,56,1042.24,639.21,70172.5,107598.44
1551218604,192.168.1.14,63.33.44.65,33821,80,2,64,60,0,998228,0
1551218604,192.168.1.4,104.198.46.246,52975,56700,5,64,103.8,63.83,358750,396122.61
1551218607,87.248.222.204,192.168.1.13,80,46672,39,56,1091.79,625.18,67801.24,106974.93
1551218607,192.168.1.13,87.248.222.204,46672,80,22,64,52,0,125703.71,110272.84
1551218607,192.168.1.14,63.33.44.65,33821,80,1,64,60,0,0,0
1551218610,87.248.222.204,192.168.1.13,80,46672,50,56,1097.92,613.66,62857.47,107887.47
1551218610,17.252.60.13,192.168.1.2,5223,49202,2,55,78.5,37.48,4,0
1551218610,192.168.1.14,63.33.44.65,33821,80,1,64,60,0,0,0
