timestamp,freq,avg_rms,std_rms
1549742388,205,4.89,5.76
1549742394,206,3.59,2.68
1549742397,206,8.4,12.32
1549742403,206,3.5,7.34
1549742406,206,5.28,8.33
1549742412,204,9.03,7.1
1549742415,207,2.59,1.85
1549742418,205,2.11,1.23
1549742424,206,2.37,1.99
1549742430,207,2.97,1.41
1549742433,206,3.65,4.68
1549742436,207,2.36,0.6
1549742442,207,2.5,0.64
1549742445,206,2.65,1.2
1551526270,144,40.02,54.75
1551526273,144,149.7,120.26
1551526276,142,164.23,96.25
1551526279,105,155.65,170.34
1551526282,144,117.28,80.04
1551526285,143,88.2,44.66
1551526288,144,39.1,55.3
1551526291,144,24.07,17.18
1551526294,144,149.34,130.69
1551526297,143,34.61,42.42
1551526300,144,30.27,31.72
1551526303,142,55.64,68.3
1551526306,144,27.55,33.13
1551526309,108,17.15,23.95
1551526312,142,66.74,42.69
1551526315,142,50.87,40.47
1551526318,144,46.09,45.15
1551526321,143,55,73.79
1551526324,143,149.95,93.47
1551526327,144,72.45,88.72
1551526330,144,45.55,58.34
1551526333,144,25.78,41.6
1551526336,106,7.49,10.24
1551526339,142,33.95,31.5
1551526342,142,32.89,29.4
1551526345,145,60.2,57.87
1551526348,143,57.93,57.16
1551526351,143,37.9,32.86
1551526354,144,56.2,49.8
1551526357,144,25.13,18.79
1551526360,144,36.89,19.15
1551526363,144,46.55,43.41
1551526366,106,57.5,56.42
1551526369,144,40.5,26.73
1551526372,145,50.96,43.63
1551526375,143,97.85,78.57
1551526378,143,42.7,37.28
1551526381,144,29.4,22.08
1551526384,143,18.2,31.14
1551526387,142,14.49,18.72
1551526390,144,36.48,17.89
1551526393,144,26.72,53.61
1551526396,108,102.57,144.45
1551526399,142,243.92,193.81
1551526402,144,174.16,212.92
1551526405,144,48.49,48.86
1551526408,144,116.81,103.63
1551526411,144,111.85,151.23
1551526414,144,77.08,108.4
1551526417,144,92.27,116.76
1551526420,142,172.48,186.13
1551526423,109,90.78,140.83
1551526426,144,62.81,117.51
1551526429,144,57.05,104.83
1551526432,142,46.39,51.73
1551526435,142,83.08,73.91
1551526438,144,65.44,75.38
1551526441,143,109.75,127.53
1551526444,143,166.69,226.54
1551526447,144,143.01,94.46
1551526450,144,74.37,72.52
1551526453,108,49.85,52.03
1551526456,144,75.53,75.35
1551526459,144,36.29,51.3
1551526462,142,59.75,88.04
1551526465,144,116.95,142.17
1551526468,144,48.32,77.25
1551526471,144,85.37,118.11
1551526474,144,76.61,72.38
1551526477,144,45.45,58.44
1551526480,144,135.3,110.39
1551526483,106,89.85,65.89
1551526486,144,203.9,245.28
1551526489,144,33.87,43.97
1551526492,143,94.25,113.3
1551526495,145,137.51,137.75
1551526498,143,112.45,138.37
1551526501,144,172.06,129.73
1551526504,144,138.04,150.4
1551526507,144,193.97,200.63
1551526510,106,246.79,275.82
1551526513,144,262.96,216.02
1551526516,144,74.2,85.37
1551526519,141,40.76,62.27
1551526522,146,27.47,73.24
1551526525,144,69.49,82.45
1551526528,144,81.9,85.23
1551526531,144,100.15,122.74
1551526534,144,51.81,105.65
1551526537,110,44.1,49.13
1551526540,143,40.06,56.16
1551526543,144,30.46,35.22
1551526546,143,32.47,46.85
1551526549,144,107.43,150.61
1551526552,142,70.57,112.41
1551526555,142,225.71,209.06
1551526558,142,65.2,81.84
1551526561,132,23.35,36.37
1551526564,144,152.86,165.64
1551526567,106,85.54,109.5
1551526570,145,63.57,77.12
1551526573,144,55.33,77.12
1551526576,144,114.12,127.76
1551526579,144,91.42,117.9
1551526582,144,81.02,91.33
1551526585,143,76.95,81.08
1551526588,144,38.27,47.18
1551526591,143,112.25,128.44
1551526594,144,74.12,72.44
1551526597,106,13.49,31.94
1551526600,144,78.79,82.57
1551526603,144,64.63,96.29
1551526606,144,41.94,67.16
1551526609,142,10.33,8.08
1551526612,142,41.66,21.32
1551526615,144,122.46,171.83
1551526618,143,59.14,41.99
1551526621,144,53.68,32.16
1551526624,144,85.07,102.99
1551526627,108,35.79,21.71
1551526630,144,39.16,35.93
1551526633,144,40.02,40.68
1551526636,144,43.68,19.67
1551526639,143,92.05,147.93
1551526642,144,159.9,141.27
1551526645,144,115.5,103.04
1551526648,145,126.64,111.77
1551526651,142,14.19,26.71
1551526654,109,28.62,36.32
1551526657,142,29.57,37.79
1551526660,143,44.44,24.85
1551526663,143,30.03,28.49
1551526666,144,58.19,88.77
1551526669,144,54.51,57.28
1551526672,144,13.34,11.58
1551526675,144,10.04,9.31
1551526678,143,29.64,23.75
