ip_sum_freq,ip_sum_sz,ip_destp_mode,ip_destp_least,ip_avg_freq,ip_avg_sz,ip_std_sz,ip_avg_ttl,ip_avg_delay,ip_std_delay,ip_std_freq,wifi_sum_freq,wifi_sum_sz,wifi_subtype_mode,wifi_type_least,wifi_avg_freq,wifi_avg_sz,wifi_avg_rssi,wifi_std_rssi,wifi_avg_delay,wifi_std_delay,wifi_std_freq,zb_sum_freq,zb_sum_sz,zb_type_mode,zb_type_least,zb_avg_freq,zb_avg_sz,zb_std_sz,zb_avg_delay,zb_std_delay,zb_std_freq,audio_freq,audio_avg_rms,audio_std_rms,avg_db,std_db,activity
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,13,26,2,2,13,26,0,225,70,0,168,1.1,0.57,10,7.75,0
3,150,8883,50000,1,75,10,149,11,0,0,37,495,8,8,18,247,-3,0,56,62,11,16,153,2,2,5,51,1,88,22,5,152,0.96,0.63,10,7.6,0
10,460,443,50000,3,153,155,177,305,468,0,25,193,8,8,25,193,-3,0,102,104,0,4,208,3,1,1,69,1,13,0,0,0,0,0,10,8.33,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,4,90,1,1,1,30,0,434,0,0,169,1.16,0.61,10,7.5,0
0,0,0,0,0,0,0,0,0,0,0,36,495,8,8,18,247,-3,0,54,57,8,10,26,2,2,10,26,0,273,81,0,173,1.16,0.57,11,8.18,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,11,179,3,2,3,59,0,121,112,3,0,0,0,9,6.88,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,105,109,0,17,101,2,2,5,33,3,157,22,5,167,1.04,0.58,9,7.43,0
2,165,50000,50000,1,82,0,58,0,0,0,36,495,8,8,18,247,-3,0,54,58,12,6,154,1,2,2,51,0,161,68,1,165,1.05,0.58,10,7.64,0
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,15,152,3,2,5,50,2,100,0,4,0,0,0,11,8.42,0
4,393,50000,443,1,131,83,60,6,0,0,29,193,8,8,29,193,-3,0,102,104,0,3,127,2,3,1,42,0,0,0,0,160,1,0.63,10,7.56,0
3,327,443,50000,1,163,124,149,10,0,0,26,193,8,8,26,193,-3,0,102,104,0,18,95,2,2,6,31,0,102,32,4,164,1.15,0.64,11,8.72,0
5,378,443,443,1,126,90,121,13,0,0,37,495,8,8,18,247,-3,0,54,57,11,15,78,2,2,5,26,0,74,22,5,0,0,0,9,7.64,0
4,120,443,50000,2,60,28,143,42,0,0,30,193,8,8,30,193,-3,0,102,104,0,14,92,0,0,4,30,0,91,119,5,164,0.98,0.54,10,7.52,0
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,17,52,2,0,5,17,0,540,30,5,161,1,0.58,10,7.39,0
6,170,50000,50000,3,85,51,58,410,232,0,28,495,8,8,14,247,-3,0,59,66,10,12,90,2,2,4,30,0,81,0,4,0,0,0,10,7.76,0
3,151,443,50000,1,75,11,150,47,0,0,31,193,8,8,31,193,-3,0,102,104,0,16,52,2,0,5,17,0,225,286,3,170,1.14,0.58,9,7.51,0
0,0,0,0,0,0,0,0,0,0,0,25,193,8,8,25,193,-3,0,102,104,0,20,91,2,2,6,30,0,108,85,5,170,1.1,0.57,10,8.48,0
0,0,0,0,0,0,0,0,0,0,0,46,797,5,8,15,265,-3,0,38,40,11,19,52,2,0,6,17,0,306,371,6,0,0,0,10,7.34,0
0,0,0,0,0,0,0,0,0,0,0,35,495,8,8,17,247,-3,0,53,54,12,14,90,2,2,4,30,0,170,25,4,160,0.99,0.6,10,7.76,0
2,172,5228,5228,1,86,0,94,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,7,125,2,3,2,41,2,185,129,1,158,1.02,0.63,9,7.24,0
7,379,443,5228,2,126,67,121,524,218,1,30,193,8,8,30,193,-3,0,102,104,0,19,153,2,2,6,51,0,209,242,5,176,1.15,0.61,10,7.38,0
4,210,50000,443,1,70,7,121,7,0,0,38,495,8,8,19,247,-3,0,54,58,12,19,89,2,2,6,29,0,83,34,4,0,0,0,11,9.12,0
