timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1549751969,0,0,0,0,0,0,0,0,0,0
1549751972,104.198.46.246,192.168.1.4,56700,62007,2,53.00,82.50,60.10,201966.00,0.00
1549751972,192.168.1.4,104.198.46.246,62007,56700,2,64.00,82.50,60.10,95614.00,0.00
1549751975,0,0,0,0,0,0,0,0,0,0
1549751978,192.168.1.7,54.246.176.173,44837,8883,2,64.00,67.50,21.92,21726.00,0.00
1549751978,54.246.176.173,192.168.1.7,8883,44837,2,235.00,67.50,21.92,3.00,0.00
1549751981,192.168.1.13,52.94.219.213,56669,443,2,64.00,60.50,28.99,62033.00,0.00
1549751981,52.94.219.213,192.168.1.13,443,56669,2,222.00,60.50,28.99,3.00,0.00
1549751984,0,0,0,0,0,0,0,0,0,0
1549751987,192.168.1.4,104.198.46.246,62007,56700,1,64.00,125.00,0.00,0.00,0.00
1549751987,104.198.46.246,192.168.1.4,56700,62007,1,53.00,40.00,0.00,0.00,0.00
1549751990,0,0,0,0,0,0,0,0,0,0
1549751993,0,0,0,0,0,0,0,0,0,0
1549751996,192.168.1.8,34.249.225.142,55393,443,2,64.00,76.50,34.65,19880.00,0.00
1549751996,34.249.225.142,192.168.1.8,443,55393,1,235.00,107.00,0.00,0.00,0.00
1549751999,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.50,249.61,19925.00,0.00
1549751999,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549752002,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.00,248.90,20078.00,0.00
1549752002,104.198.46.246,192.168.1.5,56700,61636,2,53.00,82.50,60.10,730060.00,0.00
1549752002,192.168.1.5,104.198.46.246,61636,56700,2,64.00,90.50,71.42,622669.00,0.00
1549752005,0,0,0,0,0,0,0,0,0,0
1549752008,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.00,248.90,20058.00,0.00
1549752008,192.168.1.7,54.246.176.173,44837,8883,2,64.00,67.50,21.92,21263.00,0.00
1549752008,54.246.176.173,192.168.1.7,8883,44837,1,235.00,83.00,0.00,0.00,0.00
1549752011,52.94.219.213,192.168.1.13,443,56669,2,222.00,60.50,28.99,74646.00,0.00
1549752011,192.168.1.254,192.168.1.1,45233,9002,5,64.00,85.80,71.19,17371.25,22296.82
1549752011,192.168.1.1,192.168.1.254,9002,45233,5,64.00,97.60,97.55,16705.75,21218.92
1549752014,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.00,248.90,19951.00,0.00
1549752014,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549752017,104.198.46.246,192.168.1.4,56700,62007,2,53.00,82.50,60.10,309604.00,0.00
1549752017,192.168.1.13,18.215.73.181,45746,443,2,64.00,68.50,23.33,83792.00,0.00
1549752017,18.215.73.181,192.168.1.13,443,45746,1,237.00,83.00,0.00,0.00,0.00
1549752020,192.168.1.14,216.58.212.170,52166,443,12,64.00,518.33,638.02,14016.27,13784.41
1549752020,192.168.1.8,34.249.225.142,55393,443,4,64.00,227.50,202.65,416642.33,686718.90
1549752020,34.249.225.142,192.168.1.8,443,55393,2,235.00,99.00,0.00,1230062.00,0.00
1549752023,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.50,249.61,20538.00,0.00
1549752023,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549752026,192.168.1.8,34.249.225.142,55393,443,4,64.00,228.00,203.23,823610.00,1389754.35
1549752026,172.217.23.14,192.168.1.14,443,53341,6,124.00,658.33,656.72,8817.40,10120.23
1549752026,104.198.46.246,192.168.1.5,56700,61636,1,53.00,40.00,0.00,0.00,0.00
1549752029,192.168.1.8,34.249.225.142,55393,443,2,64.00,229.00,250.32,20175.00,0.00
1549752029,34.192.21.210,192.168.1.14,443,43647,1,236.00,88.00,0.00,0.00,0.00
1549752029,192.168.1.14,34.192.21.210,43647,443,1,64.00,52.00,0.00,0.00,0.00
1549752032,0,0,0,0,0,0,0,0,0,0
1549752035,0,0,0,0,0,0,0,0,0,0
1549752038,192.168.1.7,54.246.176.173,44837,8883,2,64.00,67.50,21.92,21904.00,0.00
1549752038,192.168.1.8,34.249.225.142,55393,443,2,64.00,229.00,250.32,26678.00,0.00
1549752038,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
